Código,Asignatura,Materia,Contenidos
19975,Análisis III,Análisis Matemático,"Topología en el espacio euclídeo n-dimensional. Límites en varias variables. Derivabilidad en varias variables. Fórmula del polinomio de Taylor en varias variables. Problemas de extremos locales, absolutos y condicionados (multiplicadores de Lagrange). Teorema de la Función Implícita y Teorema de la Función Inversa. Introducción a las integrales de línea y superficie. Teoremas de Green, Gauss y Stokes."
19978,Ecuaciones Diferenciales y en Diferencias,Matemática Avanzada,"Ecuaciones diferenciales ordinarias de primer orden. Solución general y problema del valor inicial. Métodos de integración. Sistemas de ecuaciones diferenciales lineales con coeficientes constantes. Ecuaciones diferenciales lineales de orden superior. Métodos de series de potencias, Frobenius y transformada de Laplace.  Ecuaciones diferenciales y sistemas no lineales. Diagramas de fase. Comportamiento cualitativo de las soluciones. Modelos, interpretaciones y problemas de bifurcación. Ecuaciones en diferencias. Ecuaciones en diferencias lineales. Sistemas lineales de ecuaciones en diferencias. Sistemas no lineales de ecuaciones en diferencias. Aplicaciones en Ciencias e Ingeniería."
19974,Bases de Datos,Algoritmos y Datos,Tipos de bases de datos. Modelado conceptual. Diseño. Implementación. Consulta de bases de datos.
19976,Estadística Inferencial,Estadística,Variable aleatoria muestral. Teorema central del límite. Estimación de parámetros. Contraste de hipótesis paramétricos. Contrastes de hipótesis no paramétricos. Introducción a la inferencia bayesiana.
19977,Fundamentos Económicos,Economía,"Fundamentos micro y macroeconómicos. La demanda, la oferta y sus determinantes. Principales mercados y su equilibrio; la dinámica del equilibrio ante cambios en las variables. La medición del PIB y otras macromagnitudes. El mercado de trabajo; el desempleo. La determinación de los precios en una economía; la inflación. El concepto del dinero y el papel del sistema financiero en una economía. Introducción a la macroeconomía abierta."
19981,Geometría Diferencial,Matemática Avanzada,Curvatura y torsión de una curva en el espacio euclideo tridimensional. Primera y segunda forma fundamentales de una superficie en el espacio euclideo. Curvaturas y Geodésicas. El espacio tiempo de Minkowski y la relatividad especial. La relatividad especial y la geometría hiperbólica. Flujos geométricos y relatividad general. Las ecuaciones de Einstein. Geometría del espacio tiempo de Schwarzschild.
19979,Métodos Numéricos I,Cálculo Numérico,Teoría de errores. Métodos de cálculo de raíces. Álgebra matricial. Métodos de resolución de ecuaciones y sistemas lineales y no lineales. Cálculo de autovalores y autovectores. Interpolación polinómica y splines. Derivación e integración numéricas.
19984,Electrónica Digital y Arquitectura de Ordenadores,Tecnología Digital,"Principio físico de los semiconductores; circuitos electrónicos combinacionales y secuenciales; estructura de computadores: CPU, memoria, dispositivos de entrada salida, buses; lenguaje máquina y lenguaje ensamblador."
19982,Ecuaciones en Derivadas Parciales,Matemática Avanzada,Ecuaciones en derivadas parciales de primer orden. Ecuaciones en derivadas parciales no lineales de primer orden. Ecuaciones en derivadas parciales de segundo orden. Método de separación de variables. Ecuación de La place. Ecuación del calor. Ecuación de onda. No linealidad y caos. Problemas de contorno. Teorema de Green. Aplicaciones en Ciencias e Ingeniería.
19980,Análisis de Datos,Estadística,Análisis multivariante de la varianza. Análisis de componentes principales. Análisis factorial. Análisis de conglomerados. Análisis discriminante. Análisis de correspondencias. Regresión múltiple. Regresión logística.
19983,Proyecto II,Proyectos,Gestión y desarrollo de un proyecto para la resolución de un problema complejo del ámbito de la ingeniería y las ciencias que integre los conicimientos adquiridos en primer curso. Lenguaje de procesamiento de texto Markdown. Metodologías de gestión y planificación de proyectos de ingeniería.
19988,Sistemas Operativos y Redes de Ordenadores,Sistemas Operativos y Redes,"Estructura y funcionalidades de un sistema operativo. Instalación, configuración y mantenimiento de sistemas operativos UNIX/Linux. Redes de ordenadores. Transmisión de datos. Modelo OSI. Modelo TCP/IP. Protocolos de Internet."
19985,Optimización,Cálculo Numérico,Conjuntos convexos. Fundamentos de optimización convexa y dualidad: Multiplicadores de Lagrange y Condiciones KKT. Programación cuadrática. Teoría de control óptimo: principio del máximo de Lev S. Pontryagin.
19986,Métodos Numéricos II,Cálculo Numérico,Métodos de resolución de ecuaciones en diferencias. Métodos de resolución de ecuaciones diferenciales ordinarias (Runge-Kutta). Problemas de valor inicial. Métodos de resolución de ecuaciones en derivadas parciales (diferencias o elementos finitos). Problemas de frontera.
19987,Hombre y Mundo Moderno,Humanidades,"Esta asignatura pretende ser una reflexión sobre el significado del ser humano actual: sus fortalezas, retos y conflictos, mediante el análisis de la larga trayectoria filosófica, histórica y artística, desde los orígenes de la tradición occidental. El objetivo final es la constatación de las diferentes cosmovisiones que existen en Occidente y cómo han evolucionado desde la época pre-moderna hasta la actual"
19989,Sistemas Dinámicos,Matemática Avanzada,Sistemas dinámicos discretos y modelos económicos y biológicos. Estudio cualitativo de las soluciones. Interpretación económicas y biológicas. Sistemas no lineales. De los conjuntos de Julia al conjunto de Mandelbrot. Caos y fractales. Modelos económicos continuos. Idea del caos matemático en sistemas continuos con dinámica no lineal. Flujos geométricos y sensibilidad de las condiciones iniciales.
19991,Análisis Funcional,Análisis Matemático,"Espacios normados. Espacios de Hilbert. Espacios de Banach. Espacios de funciones. Separación y teorema de Hahn-Banach. Teoría de operadores: el espacio L(X,Y), operadores invertibles y aplicaciones a ecuaciones integrales. Espectro de un operador."
19992,Topología,Matemática Avanzada,"Conceptos básicos de la topología: abiertos y cerrados, adherencia e interior, etc. Base de una topología. Continuidad y homeomorfismos. Subespacio topológico y topología producto. Axiomas de separación y de numerabilidad. Espacios compactos y conexos."
19990,Variable Compleja y Análisis de Fourier,Matemática Avanzada,El cuerpo de los números complejos. Representación en el plano complejo. Funciones de variable compleja. Derivación de funciones complejas. Funciones analíticas. Series de potencias. Teorema y fórmula integral de Cauchy para funciones de variable compleja. Teorema de los residuos. Introducción al dominio de la frecuencia. Serie de Fourier continua y discreta. Espacio de Hilbert. Transformada de Fourier continua. Transformada de Fourier de tiempo discreto. Transformada de Fourier discreta y transformada rápida de Fourier.
19993,Aprendizaje Automático,Ciencia de Datos,Aprendizaje no supervisado: K medias; Conglomerados jerárquicos. Evaluación de modelos. Aprendizaje supervisado: K-vecinos más próximos; Clasficadores Bayesianso; Árboles de decisión; Máquinas de vectores de soporte; Redes neuronales.  Modelos híbridos. Aprendizaje automático explicable.
19994,Computación en paralelo,Computación Paralela,Arquitecturas multiprocesador. Sistemas de memoria compartida y memoria distribuida. Procesos e hilos. Comunicación entre procesos paralelos. Diseños de algoritmos paralelos.
19995,Cálculo Estocástico,Matemática Aplicada a la Economía,Procesos estocástico y martingalas. El movimiento browniano y proceso de Wiener. Integrales estocásticas y ecuaciones diferenciales estocásticas. Lema de Îto.
19997,Matemática Financiera I,Matemática Financiera,"Introducción a la matemática financiera: tipos de interés, bonos, valor temporal. Teoría de riesgo neutro en tiempo discreto (Teorema de Girsanov, cambio de medida, super y sub martingalas, teoría de no arbitraje, coberturas, derivados de tipo europeo, derivados de tipo americano y asiático)"
19996,Matemáticas Actuariales,Matemática Aplicada a la Economía,"Modelos de regresión. Seguros y teoría de la utilidad. Análisis de supervivencia, mortalidad y quiebra. Análisis de seguros de vida."
19998,Lógica Formal,Computación,Lógica proposicional. Lógica de predicados de primer orden. Lógica modal. Lógica matemática. Computabilidad.
19999,Teoría de la Computación,Computación,Teoría de autómatas y lenguajes formales.
20000,Fundamentos de la Inteligencia Artificial,Inteligencia Artificial,"Representación del conocimiento (basada en la lógica clásica, representación de la imprecisión, representación de la incertidumbre); búsqueda heurística (con adversarios y de un solo agente)."
20002,Matemática Financiera II,Matemática Financiera,"Teoría de riesgo neutro en tiempo continuo: teorema de Girsanov, proceso de Random-Nikodym, cambio de medida, sub y super martingalas, teoría de no arbitraje, coberturas. Modelos de equity, de tipos de interés y de Forex."
20005,Minería de Datos y Big Data,Minería de Datos,"Adquisición de datos. Preprocesamiento de datos. Técnicas de clasificación: Árboles de decisión, redes neuronales, redes bayesianas. Validación de modelos. Técnicas de segmentación. Reglas de asociación. Aplicaciones financieras de la minería de datos. Introducción al big data y sus infraestructuras. Silos de datos y gestión de bases de datos masivas. "
20003,Modelos de Riesgo Cuantitativo,Matemática Financiera,Introducción al riesgo de modelo. Value at Risk. Credit Defauls Swaps and Obligations. Modelos de cópula. Stressed testing (test de escenarios estresados). Riesgo de modelo y coberturas.
20004,Teoría y optimización de carteras,Matemática Financiera,"Teoría de carteras. Tipos de aversión al riesgo. Minimización y niveles de riesgo, fronteras de eficiencia. Técnicas numéricas de optimización. Retorno esperado. Construcción eficiente de carteras usando ETFs. Teoría moderna de carteras."
20001,Series Temporales,Matemática Aplicada a la Economía,"Introducción a las series temporales. Series temporales lineales. Modelos AR, MA, ARMA, de estacionalidad y ARIMA. Modelos ARCH y GARCH. Modelos no lineales. Cadenas de Markov. Redes neuronales recurrentes. Redes neuronales de memoria larga a corto plazo (LSTM)."
20006,Programación Lógica,Computación,Bases teóricas de la lógica computacional. Programación mediante un lenguaje del paradigma lógico.
20007,Programación Funcional,Computación,Bases teóricas de la programación funcional. Programación mediante un lenguaje del paradigma funcional.
20008,Percepción Computacional,Inteligencia Artificial,Visión artificial. Percepción de señales no visuales. Software de soporte a la percepción computacional.
20009,Procesamiento de Lenguaje Natural,Inteligencia Artificial,"Introducción: problemática del PLN, enfoques, aplicaciones. Enfoque clásico, enfoque estadístico y empírico. Redes neuronales recurrentes. Redes neuronales de memoria larga a corto plazo (LSTM). Aplicaciones y casos de uso reales: herramientas, toolkits, frameworks más utilizados y casos de uso reales."
20010,Administración de Sistemas,Sistemas de Información,Aprovisionamiento y gestión de la configuración. Automatización de tareas. Contenedores. Clustering. Servicios en la nube. Infraestructuras para Big Data.
20011,Doctrina Social de la Iglesia,Humanidades,"La Doctrina Social de la Iglesia surge como corpus coherente de pensamiento teológico moral procedente de la concepción cristiana del hombre y de la sociedad. Esta asignatura acerca al alumno al conocimiento de las fuentes de esta materia, al contexto histórico que ha ido enriqueciéndola y a los distintos tratados sociales sobre los cuales la Iglesia católica ha desarrollado su Magisterio, generando criterios interpretativos sobre los problemas sociales para desarrollar y aplicar sus contenidos en su entorno profesional."
20012,Prácticas externas,Prácticas Externas,
20013,Trabajo Fin de Grado,Trabajo Fin de Grado,
20016,Computación Cuántica,Computación Cuántica,"Mecánica cuántica, computación cuántica, bibliotecas de programación cuántica, infraestructuras de computación cuántica."
20017,Aprendizaje profundo,Ciencia de Datos,Neuronas artificiales. Redes neuronales prealimentadas. Entrenamiento de redes profundas. Redes neuronales convolucionales. Redes neuronales recurrentes y recursivas. Aplicaciones de las redes neuronales en Ciencias e Ingeniería.
20018,Procesos Estocásticos,Matemática Aplicada a la Economía,Introducción a los procesos estocásticos de Poisson. Procesos de Poisson no homogéneos y compuestos. Proceso de Riesgo colectivo.
20014,Criptografía y Blockchain,Criptografía,Elementos básicos de la seguridad de la información. Ténicas criptográficas clásicas. Cifrado simétrico y asimétrico. Cifrado en bloque. Códigos hash. Certificados electrónicos. Esquemas de certificación. Firma digital. Introducción a las cadenas de bloques cifradas (blockchain). Aplicaciones del blockchain.
20019,Teoría de la señal,Tecnología Digital,Señales en tiempo continuo y discreto. Sistema lineales y tiempo-invariante. Serie de Fourier y representación de señales periódicas. Transformadas de Fourier en tiempo continuo. Transformada de Fourier en tiempo discreto. Transformada Z en tiempo discreto. Caracterización en el dominio del tiempo y de la frecuencia. Muestreo.
20015,Ingeniería del Software,Ingeniería del Software,Metodologías ágiles de desarrollo de software. Desarrollo dirigido por pruebas. Patrones de diseño.
20020,Grandes libros,Humanidades,"El objetivo principal de Grandes libros es ofrecer a los estudiantes una visión general de una serie de libros clásicos y de su importancia en la evolución de la cultura occidental. Los textos se estudian no según su valor literario o textual, sino según el interés que tienen tanto en términos ideológicos como antropológicos. Las ideas y los temas principales desarrollados en esos libros crearon importantes corrientes de conocimiento a lo largo de los siglos y continúan ayudando a explicar la naturaleza humana."
20021,Ética y Deontología,Humanidades,"Esta asignatura versará sobre las implicaciones éticas de los grandes retos y avances científico-técnicos que se están produciendo en nuestros días. El estudio de estas implicaciones es cada vez más importante en la formación integral de los futuros profesionales de las distintas áreas del saber.  
Al tratarse de estudios éticos, esta asignatura tendrá una perspectiva interdisciplinar (científica-técnica, filosófica-antropológica, teológica, ética y legal) y tomará como punto de partida los conocimientos que los estudiantes hayan ido adquiriendo en otras asignaturas a lo largo del Grado que estén cursando, tanto las de índole científico-técnico como las humanísticas, para así profundizar de forma científica y sistemática en los aspectos éticos de sus estudios y de las profesiones vinculadas a dichos estudios.  
Tendrá un carácter eminentemente aplicado que permita a los alumnos adquirir criterios éticos para poder abordar casos complejos de trasfondo ético.  "
