Código,Asignatura,Resultado de Aprendizaje
20009,Procesamiento de Lenguaje Natural,Aplica técnicas de Procesamiento de Lenguaje Natural en problemas que lo requieren.
20010,Administración de sistemas,"Instala, configura y mantiene sistemas de información Unix/Linux."
20010,Administración de sistemas,Automatiza vía software el aprovisionamiento y la gestión de configuración de sistemas. 
20010,Administración de sistemas,"Conoce los mecanismos que garantizan alta disponibilidad, escalabilidad y aprovisionamiento bajo demanda."
20010,Administración de sistemas,"Instala, configura y explota sistemas de clustering y contenedores."
20010,Administración de sistemas,"Instala, configura y programa herramientas de Big Data."
20010,Administración de sistemas,Administra recursos en la nube.
20011,Doctrina Social de la Iglesia,Ahonda en el conocimiento del pensamiento católico aplicado a los aspectos y fenómenos sociales
20011,Doctrina Social de la Iglesia,Reflexiona sobre las cuestiones sociales de nuestro tiempo a la luz de las palabras del Evangelio
20011,Doctrina Social de la Iglesia,"Analiza el complejo mundo de las relaciones sociales que condicionan el destino del hombre, tratando de dar un sentido a la existencia y al misterio que envuelve a la Humanidad."
20012,Prácticas externas,Se desempeña adecuadamente en un entorno laboral del ámbito de la ingeniería matemática
20013,Trabajo Fin de Grado,"Elabora, presenta y defiende un proyecto de ingeniería matemática frente a un tribunal según unos estándares académico-técnicos"
20016,Computación Cuántica,Conoce los fundamentos de mecánica cuántica.
20016,Computación Cuántica,Conoce los fundamentos de la computación cuántica.
20016,Computación Cuántica,Identifica los problemas adecuados para ser resueltos mediante computación cuántica.
20016,Computación Cuántica,Pograma mediante bibliotecas de computación cuántica.
20017,Aprendizaje profundo,Identifica problemas de las Ciencias y la Ingeniería susceptibles de resolverse con redes neuronales profundas.
20017,Aprendizaje profundo,Comprende el funcionamiento de las redes neuronales prealimentadas y en particular de las redes convolucionales.
20017,Aprendizaje profundo,Aplicar la estructura de red neuronal más apropiada a un problema concreto. 
20017,Aprendizaje profundo,Evalua el rendimiento de una red neuronal profunda.
20017,Aprendizaje profundo,Implementa redes neuronales profundas en algún lenguaje de programación como Python. 
20018,Procesos Estocásticos,Es capaz de formalizar un fenómeno aleatorio con cierto interés económico en términos de un proceso estocástico.
20018,Procesos Estocásticos,Aplica cadenas de Markov en la modelización de procesos estocásticos.
20018,Procesos Estocásticos,Modeliza problemas a través del uso del proceso estocástico de Poisson.
20014,Criptografía y Blockchain,Identifica los principales elementos de seguridad de un sistema de información y evalúa su fortalezas y debilidades.
20014,Criptografía y Blockchain,Conoce y aplica los principales sistemas de protección de la información basados en la aplicación de técnicas criptográficas.
20014,Criptografía y Blockchain,Diferencia entre cifrado simétrico y asimétrico y aplica el más apropiado en cada contexto.
20014,Criptografía y Blockchain,"Conoce y saber implementar los principales algoritmos de cifrado modernos (A5, RC4, AES, RSA, etc.)"
20014,Criptografía y Blockchain,Comprende el funcionamiento de la tecnología de cadenas de bloques cifrados (blockchain) y conoce sus principales aplicaciones en el área de las finanzas.
20019,Teoría de la señal,Distingue los procesos que generan señales en tiempo continuo y discreto.
20019,Teoría de la señal,Aplica la transformada de Fourier de tiempo continuo.
20019,Teoría de la señal,Aplica la transformada de Fourier de tiempo discreto.
20015,Ingeniería del Software,Planifica el desarrollo de proyectos software.
20015,Ingeniería del Software,Conoce las metodologías modernas de desarrollo de software.
20015,Ingeniería del Software,Aplica las principales metodologías modernas de desarrollo de software.
20015,Ingeniería del Software,Realiza la automatización de pruebas.
20015,Ingeniería del Software,Aplica patrones de diseño.
20020,Grandes libros,"Mejora la capacidad de pensar de forma analítica, crítica y creativa gracias a la lectura de grandes obras literarias. "
20020,Grandes libros,"Adquiere el conocimiento de los autores, del contexto socio-cultural en que viven y de las obras estudiadas. "
20020,Grandes libros,Fomenta la capacidad de redacción escrita y expresión oral para argumentar y defender una postura crítica sobre la obra estudiada.  
20021,Ética y Deontología,"Reflexiona acerca de la propia felicidad, autorrealización y el sentido de la vida a partir de argumentos ético-filosóficos y de su experiencia vital."
20021,Ética y Deontología,"Distingue los principales elementos constitutivos de la acción humana: dignidad ontológica y moral, razón práctica natural (sindéresis), ley natural y leyes positivas, conciencia moral y responsabilidad, entre otras."
20021,Ética y Deontología,"Analiza  críticamente  las  características  de  las  principales  corrientes  éticas:  hedonismo, eudemonismo, deontologismo, utilitarismo, pragmatismo, emotivismo y consecuencialismo."
20021,Ética y Deontología,"Identifica  y  sabe  aplicar los  principios  de  responsabilidad  y  solidaridad,  así  como  los tecnológicos y medioambientales en el ejercicio de la profesión."
20021,Ética y Deontología,"Dstingue  lo  que  es  lícito  y  lo  que  no  lo  es  en  la  actividad  profesional  del Ingeniero,  atendiendo  a  los  distintos  ámbitos  en  los  que  cabe  actualmente  inscribir  dicha actividad en el mundo empresarial."
